Date,Series,Open,High,Low,Prev_Close,Ltp,Close,Vwap,52W_H,52W_L,Volume,Value,No_Of_Trades,Day,Month,Year,Percent_Change_In_Price,Momentum_Indicator,High_Low_Change,High_Open_Change,Low_Open_Change
2019-10-25,GB,3750.0,3750.0,3748.0,3700.0,3750.0,3750.0,3748.8,3800.0,2515.04,10,37488.0,4,25,10,2019,-0.0234375,0.0,0.0005336179295624333,0.0,-0.0005333333333333334
2019-10-17,GB,3700.0,3700.0,3700.0,3659.0,3700.0,3700.0,3700.0,3800.0,2515.04,10,37000.0,1,17,10,2019,-0.013333333333333308,0.0,0.0,0.0,0.0
2019-10-15,GB,3659.0,3659.0,3659.0,3625.0,3659.0,3659.0,3659.0,3800.0,2515.04,66,241494.0,7,15,10,2019,-0.011081081081081079,0.0,0.0,0.0,0.0
2019-10-14,GB,3625.0,3625.0,3625.0,3550.0,3625.0,3625.0,3625.0,3800.0,2515.04,11,39875.0,2,14,10,2019,-0.009292156326865308,0.0,0.0,0.0,0.0
2019-10-07,GB,3550.0,3551.0,3550.0,3455.25,3550.0,3550.0,3550.46,3800.0,2515.04,13,46156.0,4,7,10,2019,-0.020689655172413834,0.0,0.00028169014084507044,0.00028169014084507044,0.0
2019-10-01,GB,3455.25,3455.25,3455.25,3428.0,3455.25,3455.25,3455.25,3800.0,2515.04,1,3455.25,1,1,10,2019,-0.026690140845070376,0.0,0.0,0.0,0.0
2019-09-30,GB,3585.0,3585.0,3428.0,3600.0,3428.0,3428.0,3569.08,3800.0,2515.04,12,42829.0,3,30,9,2019,-0.007886549453729796,-0.04379358437935844,0.04579929988331389,0.0,-0.04379358437935844
2019-09-26,GB,3600.0,3600.0,3600.0,3640.0,3600.0,3600.0,3600.0,3800.0,2515.04,10,36000.0,1,26,9,2019,0.05017502917152861,0.0,0.0,0.0,0.0
2019-09-25,GB,3640.0,3640.0,3640.0,3650.0,3640.0,3640.0,3640.0,3800.0,2515.04,1,3640.0,1,25,9,2019,0.011111111111111072,0.0,0.0,0.0,0.0
2019-09-20,GB,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3800.0,2515.04,5,18250.0,1,20,9,2019,0.0027472527472527375,0.0,0.0,0.0,0.0
2019-09-13,GB,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3800.0,2515.04,6,21900.0,3,13,9,2019,0.0,0.0,0.0,0.0,0.0
