"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Nov-2024","GB","8,100.00","8,100.00","8,100.00","8,235.50","8,100.00","8,100.00","8,100.00","8,236.00","6,000.00","1","8,100.00","1"
"05-Nov-2024","GB","8,200.00","8,236.00","8,200.00","8,100.00","8,235.00","8,235.50","8,221.20","8,236.00","6,000.00","5","41,106.00","4"
"04-Nov-2024","GB","8,100.00","8,100.00","8,100.00","8,100.00","8,100.00","8,100.00","8,100.00","8,120.00","6,000.00","12","97,200.00","2"
"01-Nov-2024","GB","8,100.00","8,100.00","8,100.00","8,100.00","8,100.00","8,100.00","8,100.00","8,120.00","5,960.11","5","40,500.00","1"
"29-Oct-2024","GB","8,100.29","8,100.29","8,100.00","8,100.00","8,100.00","8,100.00","8,100.05","8,120.00","5,960.11","6","48,600.29","6"
"28-Oct-2024","GB","7,800.00","8,100.00","7,800.00","7,960.00","8,100.00","8,100.00","8,083.33","8,120.00","5,960.11","18","1,45,500.00","13"
"22-Oct-2024","GB","7,960.00","7,960.00","7,960.00","7,950.21","7,960.00","7,960.00","7,960.00","8,120.00","5,955.00","10","79,600.00","1"
"21-Oct-2024","GB","7,950.21","7,950.21","7,950.21","7,950.00","7,950.21","7,950.21","7,950.21","8,120.00","5,955.00","16","1,27,203.36","2"
"18-Oct-2024","GB","7,950.00","7,950.00","7,950.00","7,800.00","7,950.00","7,950.00","7,950.00","8,120.00","5,955.00","9","71,550.00","3"
"17-Oct-2024","GB","7,950.00","7,950.00","7,800.00","7,801.16","7,800.00","7,800.00","7,907.18","8,120.00","5,955.00","28","2,21,401.00","4"
"16-Oct-2024","GB","7,801.16","7,801.16","7,801.16","7,930.00","7,801.16","7,801.16","7,801.16","8,120.00","5,955.00","1","7,801.16","1"
"11-Oct-2024","GB","7,930.00","7,930.00","7,930.00","7,930.00","7,930.00","7,930.00","7,930.00","8,120.00","5,805.00","1","7,930.00","1"
"09-Oct-2024","GB","7,970.00","7,970.00","7,930.00","8,000.00","7,930.00","7,930.00","7,934.71","8,120.00","5,805.00","34","2,69,780.00","18"
"08-Oct-2024","GB","7,670.10","8,000.00","7,670.10","8,106.66","8,000.00","8,000.00","7,915.84","8,120.00","5,805.00","49","3,87,876.00","9"
"07-Oct-2024","GB","8,100.00","8,120.00","8,100.00","8,100.00","8,100.00","8,106.66","8,106.67","8,120.00","5,805.00","9","72,960.00","3"
"04-Oct-2024","GB","8,100.00","8,100.00","8,100.00","7,940.00","8,100.00","8,100.00","8,100.00","8,100.00","5,805.00","1","8,100.00","1"
"03-Oct-2024","GB","7,850.00","7,950.00","7,850.00","7,850.00","7,940.00","7,940.00","7,916.22","7,950.00","5,805.00","45","3,56,230.00","7"
