"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Nov-2023","GB","6,031.00","6,031.00","6,031.00","6,000.00","6,031.00","6,031.00","6,031.00","6,100.01","5,013.03","4","24,124.00","1"
"17-Nov-2023","GB","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,100.01","5,013.03","8","48,000.00","2"
"15-Nov-2023","GB","6,000.00","6,000.00","6,000.00","6,080.00","6,000.00","6,000.00","6,000.00","6,100.01","5,013.03","4","24,000.00","2"
"12-Nov-2023","GB","6,075.00","6,080.00","6,075.00","6,084.89","6,080.00","6,080.00","6,077.50","6,100.01","5,013.03","2","12,155.00","2"
"10-Nov-2023","GB","6,084.89","6,084.89","6,084.89","5,960.11","6,084.89","6,084.89","6,084.89","6,100.01","5,013.03","1","6,084.89","1"
"02-Nov-2023","GB","5,960.14","5,960.14","5,960.11","6,020.00","5,960.11","5,960.11","5,960.12","6,100.01","5,000.00","5","29,800.58","2"
"31-Oct-2023","GB","6,050.00","6,050.00","6,020.00","5,999.03","6,020.00","6,020.00","6,021.67","6,100.01","5,000.00","36","2,16,780.00","2"
"26-Oct-2023","GB","6,009.90","6,009.90","5,955.00","5,871.00","6,000.00","5,999.03","5,976.68","6,100.01","5,000.00","161","9,62,245.25","23"
"13-Oct-2023","GB","5,871.00","5,871.00","5,871.00","5,871.00","5,871.00","5,871.00","5,871.00","6,100.01","5,000.00","1","5,871.00","1"
"12-Oct-2023","GB","5,871.00","5,871.00","5,871.00","5,844.00","5,871.00","5,871.00","5,871.00","6,100.01","5,000.00","14","82,194.00","1"
"11-Oct-2023","GB","5,880.00","5,880.00","5,824.00","5,820.00","5,844.00","5,844.00","5,837.78","6,100.01","5,000.00","200","11,67,556.00","19"
"10-Oct-2023","GB","5,835.80","5,835.80","5,820.00","5,949.80","5,820.00","5,820.00","5,835.72","6,100.01","5,000.00","200","11,67,144.20","12"
"09-Oct-2023","GB","5,875.00","5,949.80","5,805.00","5,875.00","5,949.80","5,949.80","5,839.69","6,100.01","5,000.00","196","11,44,579.80","27"
"06-Oct-2023","GB","5,875.00","5,875.00","5,875.00","5,805.00","5,875.00","5,875.00","5,875.00","6,100.01","4,975.00","1","5,875.00","1"
"03-Oct-2023","GB","5,805.00","5,805.00","5,805.00","5,880.00","5,805.00","5,805.00","5,805.00","6,100.01","4,975.00","1","5,805.00","1"
"26-Sep-2023","GB","5,880.00","5,880.00","5,880.00","5,875.00","5,880.00","5,880.00","5,880.00","6,100.01","4,975.00","1","5,880.00","1"
"20-Sep-2023","GB","5,875.00","5,875.00","5,875.00","5,841.01","5,875.00","5,875.00","5,875.00","6,100.01","4,875.02","6","35,250.00","2"
"14-Sep-2023","GB","5,841.01","5,841.01","5,841.01","5,826.03","5,841.01","5,841.01","5,841.01","6,100.01","4,875.02","1","5,841.01","1"
"13-Sep-2023","GB","5,826.03","5,826.03","5,826.03","5,980.00","5,826.03","5,826.03","5,826.03","6,100.01","4,875.02","1","5,826.03","1"
"08-Sep-2023","GB","5,969.99","5,980.00","5,969.99","5,969.99","5,980.00","5,980.00","5,970.43","6,100.01","4,875.02","23","1,37,319.78","4"
"06-Sep-2023","GB","5,969.99","5,969.99","5,969.99","5,915.00","5,969.99","5,969.99","5,969.99","6,100.01","4,875.02","4","23,879.96","2"
"31-Aug-2023","GB","5,870.00","5,915.00","5,870.00","5,870.00","5,915.00","5,915.00","5,882.27","6,100.01","4,875.02","11","64,705.00","5"
"29-Aug-2023","GB","5,870.00","5,870.00","5,870.00","5,870.00","5,870.00","5,870.00","5,870.00","6,100.01","4,875.02","1","5,870.00","1"
"28-Aug-2023","GB","5,878.00","5,878.00","5,870.00","5,870.00","5,870.00","5,870.00","5,870.26","6,100.01","4,875.02","141","8,27,707.00","7"
"25-Aug-2023","GB","5,852.00","5,899.99","5,852.00","5,871.00","5,870.00","5,870.00","5,857.26","6,100.01","4,875.02","437","25,59,623.92","24"
"24-Aug-2023","GB","5,900.00","5,900.00","5,871.00","5,873.25","5,871.00","5,871.00","5,871.11","6,100.01","4,875.02","1,379","80,96,254.00","63"
"23-Aug-2023","GB","5,888.00","5,889.99","5,871.00","5,899.99","5,871.00","5,873.25","5,875.26","6,100.01","4,875.02","23","1,35,130.99","4"
"22-Aug-2023","GB","5,815.01","5,899.99","5,815.01","5,899.99","5,899.99","5,899.99","5,836.26","6,100.01","4,875.02","8","46,690.04","2"
"18-Aug-2023","GB","5,815.11","5,899.99","5,815.11","5,900.00","5,899.99","5,899.99","5,821.40","6,100.01","4,875.02","27","1,57,177.73","2"
"16-Aug-2023","GB","5,900.00","5,900.00","5,900.00","5,870.00","5,900.00","5,900.00","5,900.00","6,100.01","4,875.02","1","5,900.00","1"
"14-Aug-2023","GB","5,985.00","5,985.00","5,870.00","5,874.29","5,870.00","5,870.00","5,955.41","6,100.01","4,875.02","8","47,643.28","8"
