"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","GB","5,300.00","5,325.00","5,300.00","5,200.00","5,325.00","5,325.00","5,315.86","5,646.46","4,562.00","35","1,86,055.00","7"
"26-Dec-2022","GB","5,200.00","5,200.00","5,200.00","5,260.05","5,200.00","5,200.00","5,200.00","5,646.46","4,562.00","5","26,000.00","1"
"21-Dec-2022","GB","5,260.00","5,260.05","5,260.00","5,300.00","5,260.05","5,260.05","5,260.03","5,646.46","4,562.00","2","10,520.05","2"
"20-Dec-2022","GB","5,300.00","5,300.00","5,300.00","5,250.00","5,300.00","5,300.00","5,300.00","5,646.46","4,562.00","2","10,600.00","1"
"16-Dec-2022","GB","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,646.46","4,562.00","2","10,500.00","1"
"15-Dec-2022","GB","5,250.00","5,250.00","5,250.00","5,200.00","5,250.00","5,250.00","5,250.00","5,646.46","4,562.00","3","15,750.00","2"
"13-Dec-2022","GB","5,200.00","5,200.00","5,200.00","5,200.00","5,200.00","5,200.00","5,200.00","5,646.46","4,562.00","1","5,200.00","1"
"08-Dec-2022","GB","5,200.00","5,200.00","5,200.00","5,200.00","5,200.00","5,200.00","5,200.00","5,646.46","4,562.00","5","26,000.00","2"
"05-Dec-2022","GB","5,179.90","5,200.00","5,179.90","5,100.00","5,200.00","5,200.00","5,183.98","5,646.46","4,562.00","5","25,919.90","3"
"02-Dec-2022","GB","5,100.00","5,100.00","5,100.00","5,016.00","5,100.00","5,100.00","5,100.00","5,646.46","4,562.00","10","51,000.00","10"
"30-Nov-2022","GB","5,016.00","5,016.00","5,016.00","5,013.03","5,016.00","5,016.00","5,016.00","5,646.46","4,562.00","1","5,016.00","1"
"29-Nov-2022","GB","5,013.03","5,013.03","5,013.03","5,031.00","5,013.03","5,013.03","5,013.03","5,646.46","4,562.00","2","10,026.06","1"
"23-Nov-2022","GB","5,031.00","5,090.01","5,031.00","5,150.00","5,031.00","5,031.00","5,073.91","5,646.46","4,562.00","11","55,813.05","4"
"16-Nov-2022","GB","5,121.01","5,150.00","5,120.00","5,150.00","5,150.00","5,150.00","5,134.62","5,646.46","4,562.00","21","1,07,827.07","5"
"15-Nov-2022","GB","5,210.00","5,210.00","5,150.00","5,210.00","5,150.00","5,150.00","5,184.29","5,646.46","4,562.00","7","36,290.00","2"
"09-Nov-2022","GB","5,163.00","5,210.00","5,163.00","5,100.00","5,210.00","5,210.00","5,186.50","5,646.46","4,562.00","20","1,03,730.00","2"
"04-Nov-2022","GB","5,100.00","5,100.00","5,100.00","5,100.00","5,100.00","5,100.00","5,100.00","5,646.46","4,562.00","2","10,200.00","1"
"03-Nov-2022","GB","5,100.00","5,100.00","5,100.00","5,040.00","5,100.00","5,100.00","5,100.00","5,646.46","4,562.00","2","10,200.00","1"
"02-Nov-2022","GB","5,030.00","5,040.00","5,030.00","5,000.00","5,040.00","5,040.00","5,031.00","5,646.46","4,562.00","10","50,310.00","2"
"01-Nov-2022","GB","5,000.00","5,000.00","5,000.00","5,100.00","5,000.00","5,000.00","5,000.00","5,646.46","4,562.00","1","5,000.00","1"
"31-Oct-2022","GB","5,100.00","5,100.00","5,100.00","5,096.00","5,100.00","5,100.00","5,100.00","5,646.46","4,562.00","2","10,200.00","1"
"24-Oct-2022","GB","5,096.00","5,096.00","5,096.00","5,000.00","5,096.00","5,096.00","5,096.00","5,646.46","4,562.00","3","15,288.00","2"
"21-Oct-2022","GB","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,646.46","4,562.00","5","25,000.00","1"
"19-Oct-2022","GB","5,000.10","5,000.10","5,000.00","5,099.00","5,000.00","5,000.00","5,000.02","5,646.46","4,562.00","20","1,00,000.30","2"
"18-Oct-2022","GB","5,099.00","5,099.00","5,099.00","5,082.00","5,099.00","5,099.00","5,099.00","5,646.46","4,562.00","2","10,198.00","1"
