"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2021","GB","4,860.00","4,933.99","4,860.00","4,935.17","4,933.99","4,933.99","4,912.11","5,399.00","3,615.00","74","3,63,495.90","15"
"31-Dec-2020","GB","4,924.90","4,940.00","4,840.00","4,889.00","4,920.00","4,935.17","4,925.29","5,399.00","3,615.00","164","8,07,747.65","21"
"30-Dec-2020","GB","4,890.00","4,892.90","4,880.00","4,894.00","4,889.00","4,889.00","4,886.59","5,399.00","3,615.00","182","8,89,359.90","17"
"29-Dec-2020","GB","4,935.90","4,937.00","4,860.00","4,872.80","4,894.00","4,894.00","4,888.11","5,399.00","3,615.00","89","4,35,041.80","13"
"28-Dec-2020","GB","4,896.89","4,896.90","4,860.00","4,850.00","4,888.00","4,872.80","4,882.75","5,399.00","3,615.00","60","2,92,965.14","11"
"24-Dec-2020","GB","4,860.00","4,860.00","4,840.00","4,820.00","4,850.00","4,850.00","4,845.82","5,399.00","3,599.00","110","5,33,040.00","6"
"23-Dec-2020","GB","4,870.00","4,870.00","4,820.00","4,837.23","4,820.00","4,820.00","4,824.52","5,399.00","3,599.00","73","3,52,189.80","5"
"22-Dec-2020","GB","4,820.00","4,879.90","4,820.00","4,821.00","4,835.00","4,837.23","4,827.15","5,399.00","3,599.00","290","13,99,874.18","35"
"21-Dec-2020","GB","4,830.00","4,830.00","4,815.00","4,800.00","4,821.00","4,821.00","4,826.78","5,399.00","3,599.00","83","4,00,623.00","7"
"18-Dec-2020","GB","4,800.00","4,806.00","4,800.00","4,797.00","4,800.00","4,800.00","4,800.26","5,399.00","3,580.05","70","3,36,018.00","22"
"17-Dec-2020","GB","4,765.00","4,797.00","4,765.00","4,751.00","4,797.00","4,797.00","4,786.42","5,399.00","3,580.05","19","90,942.00","6"
"16-Dec-2020","GB","4,750.00","4,768.00","4,750.00","4,749.00","4,751.00","4,751.00","4,755.50","5,399.00","3,580.05","60","2,85,330.00","4"
"15-Dec-2020","GB","4,749.90","4,749.90","4,713.15","4,749.00","4,749.00","4,749.00","4,748.66","5,399.00","3,580.05","220","10,44,704.75","17"
"14-Dec-2020","GB","4,736.25","4,749.00","4,736.25","4,736.25","4,749.00","4,749.00","4,746.11","5,399.00","3,580.05","53","2,51,544.00","6"
"11-Dec-2020","GB","4,735.00","4,745.00","4,730.00","4,735.00","4,745.00","4,736.25","4,740.27","5,399.00","3,562.00","162","7,67,923.55","19"
"10-Dec-2020","GB","4,730.00","4,740.00","4,725.80","4,738.83","4,735.00","4,735.00","4,733.73","5,399.00","3,562.00","101","4,78,106.80","21"
"09-Dec-2020","GB","4,750.00","4,750.00","4,710.00","4,715.00","4,750.00","4,738.83","4,722.64","5,399.00","3,562.00","1,193","56,34,107.33","78"
