"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2019","GB","3,700.00","3,700.00","3,700.00","3,599.50","3,700.00","3,700.00","3,700.00","3,840.00","2,725.00","6","22,200.00","1"
"23-Dec-2019","GB","3,750.00","3,750.00","3,599.00","3,589.00","3,599.00","3,599.50","3,616.33","3,840.00","2,655.29","45","1,62,735.00","5"
"17-Dec-2019","GB","3,590.00","3,590.00","3,589.00","3,580.05","3,589.00","3,589.00","3,589.40","3,840.00","2,655.29","25","89,735.00","3"
"16-Dec-2019","GB","3,580.05","3,580.05","3,580.05","3,580.00","3,580.05","3,580.05","3,580.05","3,840.00","2,655.29","1","3,580.05","1"
"12-Dec-2019","GB","3,562.00","3,580.00","3,562.00","3,585.00","3,580.00","3,580.00","3,565.00","3,840.00","2,655.29","6","21,390.00","2"
"09-Dec-2019","GB","3,585.00","3,585.00","3,582.00","3,525.00","3,585.00","3,585.00","3,583.00","3,840.00","2,655.29","60","2,14,980.00","3"
"04-Dec-2019","GB","3,525.00","3,525.00","3,525.00","3,630.00","3,525.00","3,525.00","3,525.00","3,840.00","2,655.29","2","7,050.00","1"
"21-Nov-2019","GB","3,630.00","3,630.00","3,630.00","3,639.99","3,630.00","3,630.00","3,630.00","3,840.00","2,626.00","6","21,780.00","1"
"15-Nov-2019","GB","3,649.99","3,649.99","3,639.99","3,840.00","3,639.99","3,639.99","3,644.99","3,840.00","2,515.04","4","14,579.96","3"
"27-Oct-2019","GB","3,750.00","3,840.00","3,750.00","3,750.00","3,840.00","3,840.00","3,795.00","3,840.00","2,515.04","8","30,360.00","2"
"25-Oct-2019","GB","3,750.00","3,750.00","3,748.00","3,700.00","3,750.00","3,750.00","3,748.80","3,800.00","2,515.04","10","37,488.00","4"
"17-Oct-2019","GB","3,700.00","3,700.00","3,700.00","3,659.00","3,700.00","3,700.00","3,700.00","3,800.00","2,515.04","10","37,000.00","1"
"15-Oct-2019","GB","3,659.00","3,659.00","3,659.00","3,625.00","3,659.00","3,659.00","3,659.00","3,800.00","2,515.04","66","2,41,494.00","7"
"14-Oct-2019","GB","3,625.00","3,625.00","3,625.00","3,550.00","3,625.00","3,625.00","3,625.00","3,800.00","2,515.04","11","39,875.00","2"
"07-Oct-2019","GB","3,550.00","3,551.00","3,550.00","3,455.25","3,550.00","3,550.00","3,550.46","3,800.00","2,515.04","13","46,156.00","4"
"01-Oct-2019","GB","3,455.25","3,455.25","3,455.25","3,428.00","3,455.25","3,455.25","3,455.25","3,800.00","2,515.04","1","3,455.25","1"
"30-Sep-2019","GB","3,585.00","3,585.00","3,428.00","3,600.00","3,428.00","3,428.00","3,569.08","3,800.00","2,515.04","12","42,829.00","3"
"26-Sep-2019","GB","3,600.00","3,600.00","3,600.00","3,640.00","3,600.00","3,600.00","3,600.00","3,800.00","2,515.04","10","36,000.00","1"
"25-Sep-2019","GB","3,640.00","3,640.00","3,640.00","3,650.00","3,640.00","3,640.00","3,640.00","3,800.00","2,515.04","1","3,640.00","1"
"20-Sep-2019","GB","3,650.00","3,650.00","3,650.00","3,650.00","3,650.00","3,650.00","3,650.00","3,800.00","2,515.04","5","18,250.00","1"
"13-Sep-2019","GB","3,650.00","3,650.00","3,650.00","3,650.00","3,650.00","3,650.00","3,650.00","3,800.00","2,515.04","6","21,900.00","3"
"11-Sep-2019","GB","3,740.00","3,740.00","3,650.00","3,706.00","3,650.00","3,650.00","3,734.40","3,800.00","2,515.04","35","1,30,704.00","4"
"09-Sep-2019","GB","3,699.99","3,706.00","3,699.99","3,611.25","3,706.00","3,706.00","3,700.28","3,800.00","2,515.04","42","1,55,411.60","2"
"04-Sep-2019","GB","3,701.00","3,701.00","3,611.25","3,601.25","3,611.25","3,611.25","3,660.16","3,800.00","2,515.04","100","3,66,016.25","4"
"30-Aug-2019","GB","3,601.25","3,601.25","3,601.25","3,800.00","3,601.25","3,601.25","3,601.25","3,800.00","2,511.29","1","3,601.25","1"
"29-Aug-2019","GB","3,775.00","3,800.00","3,775.00","3,724.00","3,800.00","3,800.00","3,783.33","3,800.00","2,511.29","3","11,350.00","2"
"27-Aug-2019","GB","3,724.00","3,724.00","3,724.00","3,600.00","3,724.00","3,724.00","3,724.00","3,724.00","2,511.29","10","37,240.00","2"
"23-Aug-2019","GB","3,600.00","3,600.00","3,600.00","3,600.00","3,600.00","3,600.00","3,600.00","3,600.00","2,511.29","35","1,26,000.00","2"
"22-Aug-2019","GB","3,425.00","3,600.00","3,420.00","3,405.01","3,600.00","3,600.00","3,533.18","3,600.00","2,511.29","44","1,55,460.00","5"
"21-Aug-2019","GB","3,351.00","3,520.00","3,351.00","3,470.00","3,405.01","3,405.01","3,405.84","3,520.00","2,511.29","44","1,49,857.10","10"
"16-Aug-2019","GB","3,469.00","3,470.00","3,469.00","3,445.00","3,470.00","3,470.00","3,469.50","3,470.00","2,511.29","2","6,939.00","2"
"14-Aug-2019","GB","3,445.00","3,445.00","3,445.00","3,447.00","3,445.00","3,445.00","3,445.00","3,447.00","2,511.29","50","1,72,250.00","2"
"13-Aug-2019","GB","3,445.00","3,447.00","3,445.00","3,375.00","3,447.00","3,447.00","3,446.89","3,447.00","2,511.29","35","1,20,641.00","3"
"09-Aug-2019","GB","3,435.00","3,435.00","3,375.00","3,429.99","3,375.00","3,375.00","3,425.00","3,440.00","2,511.29","6","20,550.00","3"
"08-Aug-2019","GB","3,440.00","3,440.00","3,400.00","3,400.00","3,429.99","3,429.99","3,430.79","3,440.00","2,511.29","38","1,30,369.93","5"
"07-Aug-2019","GB","3,370.00","3,429.00","3,360.00","3,334.72","3,400.00","3,400.00","3,388.86","3,429.00","2,511.29","72","2,43,998.00","11"
"06-Aug-2019","GB","3,260.00","3,389.00","3,260.00","3,300.01","3,389.00","3,334.72","3,290.05","3,389.00","2,511.29","82","2,69,783.99","10"
"05-Aug-2019","GB","3,255.00","3,310.00","3,255.00","3,255.00","3,300.01","3,300.01","3,281.28","3,339.00","2,511.29","78","2,55,940.04","4"
"31-Jul-2019","GB","3,259.99","3,259.99","3,205.00","3,279.99","3,255.00","3,255.00","3,255.09","3,339.00","2,511.29","52","1,69,264.89","4"
"26-Jul-2019","GB","3,279.99","3,279.99","3,279.99","3,339.00","3,279.99","3,279.99","3,279.99","3,339.00","2,511.29","2","6,559.98","1"
"22-Jul-2019","GB","3,240.00","3,339.00","3,240.00","3,240.00","3,339.00","3,339.00","3,326.63","3,339.00","2,511.29","8","26,613.00","3"
"19-Jul-2019","GB","3,245.00","3,245.00","3,240.00","3,245.00","3,240.00","3,240.00","3,242.79","3,300.00","2,511.29","113","3,66,435.00","11"
"18-Jul-2019","GB","3,245.00","3,245.00","3,245.00","3,220.00","3,245.00","3,245.00","3,245.00","3,300.00","2,511.29","2","6,490.00","1"
"16-Jul-2019","GB","3,150.00","3,220.00","3,150.00","3,150.00","3,220.00","3,220.00","3,187.44","3,300.00","2,511.29","43","1,37,060.00","3"
"11-Jul-2019","GB","3,150.00","3,150.00","3,150.00","3,150.00","3,150.00","3,150.00","3,150.00","3,300.00","2,511.29","30","94,500.00","1"
"09-Jul-2019","GB","3,090.00","3,150.00","3,090.00","3,100.00","3,150.00","3,150.00","3,105.00","3,300.00","2,511.29","4","12,420.00","2"
"04-Jul-2019","GB","3,100.00","3,100.00","3,100.00","2,901.00","3,100.00","3,100.00","3,100.00","3,300.00","2,511.29","1","3,100.00","1"
"03-Jul-2019","GB","2,901.00","2,901.00","2,901.00","3,100.00","2,901.00","2,901.00","2,901.00","3,300.00","2,511.29","1","2,901.00","1"
