"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2021","GB","4,642.00","4,642.00","4,642.00","4,642.00","4,642.00","4,642.00","4,642.00","5,004.00","4,550.01","1","4,642.00","1"
"27-Dec-2021","GB","4,642.00","4,642.00","4,642.00","4,750.00","4,642.00","4,642.00","4,642.00","5,004.00","4,550.01","2","9,284.00","1"
"21-Dec-2021","GB","4,750.00","4,750.00","4,750.00","4,662.00","4,750.00","4,750.00","4,750.00","5,004.00","4,550.01","1","4,750.00","1"
"20-Dec-2021","GB","4,661.00","4,662.00","4,661.00","4,654.00","4,662.00","4,662.00","4,661.47","5,004.00","4,550.01","19","88,568.00","2"
"15-Dec-2021","GB","4,680.00","4,681.00","4,653.00","4,665.00","4,654.00","4,654.00","4,668.05","5,004.00","4,550.01","44","2,05,394.02","7"
"09-Dec-2021","GB","4,663.00","4,665.00","4,663.00","4,652.00","4,665.00","4,665.00","4,664.67","5,004.00","4,550.01","6","27,988.00","2"
"03-Dec-2021","GB","4,652.00","4,652.00","4,652.00","4,747.00","4,652.00","4,652.00","4,652.00","5,004.00","4,550.01","5","23,260.00","1"
"01-Dec-2021","GB","4,750.00","4,750.00","4,747.00","4,948.00","4,747.00","4,747.00","4,749.25","5,004.00","4,550.01","4","18,997.00","2"
"30-Nov-2021","GB","4,748.99","4,948.00","4,748.99","4,658.00","4,948.00","4,948.00","4,778.59","5,004.00","4,550.01","38","1,81,586.25","13"
"29-Nov-2021","GB","4,700.00","4,700.00","4,658.00","4,700.00","4,658.00","4,658.00","4,664.00","5,004.00","4,550.01","7","32,648.00","2"
"26-Nov-2021","GB","4,735.00","4,735.00","4,641.35","4,680.00","4,700.00","4,700.00","4,681.43","5,004.00","4,550.01","124","5,80,497.65","12"
"25-Nov-2021","GB","4,710.00","4,717.00","4,680.00","4,717.00","4,680.00","4,680.00","4,708.08","5,004.00","4,550.01","12","56,497.00","4"
"22-Nov-2021","GB","4,717.00","4,717.00","4,717.00","4,717.00","4,717.00","4,717.00","4,717.00","5,004.00","4,550.01","2","9,434.00","1"
"18-Nov-2021","GB","4,717.00","4,717.00","4,717.00","4,797.00","4,717.00","4,717.00","4,717.00","5,004.00","4,550.01","10","47,170.00","1"
"04-Nov-2021","GB","4,690.01","4,799.00","4,690.01","4,710.00","4,797.00","4,797.00","4,743.84","5,200.00","4,550.01","6","28,463.03","3"
"03-Nov-2021","GB","4,710.00","4,710.00","4,710.00","4,710.00","4,710.00","4,710.00","4,710.00","5,200.00","4,550.01","1","4,710.00","1"
